City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
47,elverum,60.8819,11.5623,53.2,85,100,2.24,NO,1689969347
48,klyuchi,52.2667,79.1667,68.11,71,97,11.83,RU,1689969347
49,gwadar,25.1216,62.3254,82.13,85,94,8.23,PK,1689969348
50,punta arenas,-53.15,-70.9167,28.11,92,100,4.09,CL,1689969348
51,nar'yan-mar,67.6713,53.087,47.73,95,86,14.65,RU,1689969348
52,la sarre,48.8002,-79.1996,73.08,37,18,12.57,CA,1689969349
53,ibresi,55.2961,47.0394,56.97,98,100,4.43,RU,1689969349
54,dudinka,69.4058,86.1778,67.62,68,100,8.77,RU,1689969349
55,kurtamysh,54.9103,64.4319,59.18,75,5,8.55,RU,1689969350
56,codrington,-38.2667,141.9667,48.79,85,100,11.52,AU,1689969350
57,aasiaat,68.7098,-52.8699,39.54,94,93,15.75,GL,1689969350
58,ballina,-28.8667,153.5667,46.78,80,1,10.22,AU,1689969351
59,ola,59.5833,151.2833,53.15,91,99,6.82,RU,1689969351
60,hermanus,-34.4187,19.2345,52.61,64,100,6.85,ZA,1689969351
61,barra do corda,-5.5,-45.25,93.2,24,2,6.2,BR,1689969352
62,matoury,4.8483,-52.3317,87.76,66,75,12.66,GF,1689969352
63,fale old settlement,-9.3852,-171.2468,83.26,74,89,10.07,TK,1689969352
64,peace river,56.2501,-117.286,80.91,38,75,4.61,CA,1689969271
65,novodzhereliyevskaya,45.7737,38.6723,70.45,82,26,6.04,RU,1689969353
66,keflavik,64.0049,-22.5624,57.11,82,75,17.27,IS,1689969353
67,yangjiang,21.85,111.9667,79.07,89,26,2.53,CN,1689969353
68,nema,57.5067,50.5011,61.75,63,100,4.85,RU,1689969354
69,blackmans bay,-43.0167,147.3167,42.53,89,11,7.14,AU,1689969354
70,porto uniao,-26.2381,-51.0783,66.25,80,0,3.36,BR,1689969170
71,ushuaia,-54.8,-68.3,29.86,64,20,17.27,AR,1689969093
72,praia da vitoria,38.7333,-27.0667,73.65,88,40,3.29,PT,1689969355
73,rikaze,29.25,88.8833,60.4,51,17,4.41,CN,1689969355
74,invercargill,-46.4,168.35,32.02,99,22,1.99,NZ,1689969355
75,hamilton,39.1834,-84.5333,81.88,59,40,10.36,US,1689969057
76,lampa,-33.2833,-70.9,61.07,67,75,6.91,CL,1689969356
77,porto novo,6.4965,2.6036,78.62,89,36,9.19,BJ,1689969356
78,humaita,-7.5061,-63.0208,97.61,23,5,3.58,BR,1689969356
79,constantia,44.1833,28.65,70.7,79,0,10.94,RO,1689969346
80,alice springs,-23.7,133.8833,36.95,93,0,0.0,AU,1689969176
81,grand falls-windsor,48.9332,-55.6649,83.5,61,77,3.0,CA,1689969357
82,iqaluit,63.7506,-68.5145,44.33,87,75,9.22,CA,1689969358
83,vilyuchinsk,52.9306,158.4028,57.47,90,51,10.25,RU,1689969358
84,paso robles,35.6266,-120.691,101.32,25,0,4.61,US,1689969111
85,georgetown,5.4112,100.3354,82.33,91,20,3.44,MY,1689969305
86,tralee,52.2704,-9.7026,56.07,95,100,9.55,IE,1689969359
87,yellowknife,62.456,-114.3525,79.32,38,75,10.36,CA,1689969359
88,jamestown,42.097,-79.2353,73.04,64,75,13.8,US,1689969359
89,nemuro,43.3236,145.575,58.53,96,44,10.65,JP,1689969359
90,whitehorse,60.7161,-135.0538,74.8,41,75,2.3,CA,1689969292
91,pisco,-13.7,-76.2167,71.65,68,0,9.22,PE,1689969360
92,saint-philippe,-21.3585,55.7679,71.19,84,59,13.51,RE,1689969360
93,dakoro,14.5106,6.765,86.34,45,100,5.84,NE,1689969360
94,wailua homesteads,22.0669,-159.378,81.03,80,100,17.27,US,1689969361
95,kzyltu,53.6364,72.3414,65.35,67,100,15.84,KZ,1689969361
96,likasi,-10.9814,26.7333,63.01,47,6,3.53,CD,1689969361
97,korem,12.5058,39.5228,59.94,74,100,7.11,ET,1689969362
